"year","month","model","registrations","market_share"
2024,8,"SKODA ENYAQ IV",670,5.2
2024,8,"TESLA MODEL Y",572,4.4
2024,8,"VOLKSWAGEN T-ROC",510,4
2024,8,"VOLKSWAGEN ID.4",503,3.9
2024,8,"AUDI Q4 E-TRON",386,3
2024,8,"VOLKSWAGEN ID.3",357,2.8
2024,8,"MERCEDES-BENZ EQA",333,2.6
2024,8,"BMW 3'ER",266,2.1
2024,8,"TESLA MODEL 3",239,1.9
2024,8,"AUDI Q2",236,1.8
2024,8,"RENAULT SCENIC",225,1.8
2024,8,"PEUGEOT 3008",211,1.6
2024,8,"TOYOTA AYGO X",196,1.5
2024,8,"SUZUKI SWIFT",194,1.5
2024,8,"KIA NIRO",184,1.4
2024,8,"BMW I5",177,1.4
2024,8,"TOYOTA YARIS",171,1.3
2024,8,"VOLKSWAGEN ID.7",170,1.3
2024,8,"MERCEDES-BENZ EQB",169,1.3
2024,8,"RENAULT CLIO",167,1.3
2024,8,"TOYOTA BZ4X",166,1.3
2024,8,"VOLVO EX30",165,1.3
2024,8,"NISSAN QASHQAI",164,1.3
2024,8,"TOYOTA YARIS CROSS",164,1.3
2024,8,"BMW IX1",163,1.3
2024,8,"VOLKSWAGEN POLO",158,1.2
2024,8,"SKODA KAMIQ",149,1.2
2024,8,"VOLKSWAGEN T-CROSS",147,1.1
2024,8,"BYD DOLPHIN",143,1.1
2024,8,"XPENG G6",135,1.1
2024,8,"AUDI A3",134,1
2024,8,"FORD EXPLORER",133,1
2024,8,"VOLKSWAGEN MULTIVAN",112,0.9
2024,8,"AUDI Q5",111,0.9
2024,8,"POLESTAR 2",106,0.8
2024,8,"PEUGEOT 2008",105,0.8
2024,8,"SEAT IBIZA",105,0.8
2024,8,"MERCEDES-BENZ C-KLASSE",104,0.8
2024,8,"VOLVO EX40",104,0.8
2024,8,"XPENG G9",104,0.8
2024,8,"FORD KUGA",102,0.8
2024,8,"NISSAN ARIYA",96,0.7
2024,8,"CITROEN C3",95,0.7
2024,8,"CUPRA BORN",95,0.7
2024,8,"VOLKSWAGEN ID.5",95,0.7
2024,8,"MERCEDES-BENZ A-KLASSE",92,0.7
2024,8,"HYUNDAI I10",84,0.7
2024,8,"SKODA FABIA",82,0.6
2024,8,"TOYOTA COROLLA CROSS",82,0.6
2024,8,"PEUGEOT 208",81,0.6
2024,8,"HYUNDAI KONA",78,0.6
2024,8,"AUDI Q6 E-TRON",72,0.6
2024,8,"MERCEDES-BENZ EQE SUV",72,0.6
2024,8,"RENAULT MEGANE E-TECH",71,0.6
2024,8,"MERCEDES-BENZ EQE",70,0.5
2024,8,"BYD SEAL U",69,0.5
2024,8,"CITROEN C3 AIRCROSS",68,0.5
2024,8,"CUPRA FORMENTOR",68,0.5
2024,8,"MERCEDES-BENZ GLB",65,0.5
2024,8,"BYD SEAL",64,0.5
2024,8,"HYUNDAI I20",64,0.5
2024,8,"KIA EV6",62,0.5
2024,8,"VOLKSWAGEN PASSAT",60,0.5
2024,8,"FIAT 500",59,0.5
2024,8,"KIA PICANTO",59,0.5
2024,8,"AUDI Q3",58,0.5
2024,8,"POLESTAR 4",58,0.5
2024,8,"MERCEDES-BENZ GLA",56,0.4
2024,8,"SKODA KAROQ",56,0.4
2024,8,"MINI 3-DØRS",55,0.4
2024,8,"OPEL CORSA",53,0.4
2024,8,"SEAT ARONA",53,0.4
2024,8,"DACIA SANDERO",51,0.4
2024,8,"SUZUKI IGNIS",51,0.4
2024,8,"HYUNDAI TUCSON",49,0.4
2024,8,"MAZDA 2",47,0.4
2024,8,"BMW IX2",44,0.3
2024,8,"MERCEDES-BENZ CLA",42,0.3
2024,8,"MAZDA CX-5",41,0.3
2024,8,"MG 4",41,0.3
2024,8,"MAZDA MX-30",40,0.3
2024,8,"BMW 1'ER",39,0.3
2024,8,"HYUNDAI IONIQ 5",39,0.3
2024,8,"PEUGEOT 5008",39,0.3
2024,8,"BMW I4",38,0.3
2024,8,"BMW IX3",38,0.3
2024,8,"HONGQI E-HS9",35,0.3
2024,8,"SKODA SCALA",35,0.3
2024,8,"CUPRA LEON",34,0.3
2024,8,"FORD MUSTANG MACH-E",33,0.3
2024,8,"SKODA KODIAQ",29,0.2
2024,8,"TOYOTA C-HR",29,0.2
2024,8,"BMW 5'ER",27,0.2
2024,8,"SUZUKI SX4",27,0.2
2024,8,"CITROEN C4",26,0.2
2024,8,"DACIA JOGGER",26,0.2
2024,8,"MINI COUNTRYMAN",26,0.2
2024,8,"SUZUKI VITARA",26,0.2
2024,8,"VOLKSWAGEN TOURAN",26,0.2
2024,8,"BMW X1",25,0.2
2024,8,"KIA SPORTAGE",24,0.2
2024,8,"TOYOTA COROLLA",23,0.2
2024,8,"KIA CEED",22,0.2
2024,8,"SKODA OCTAVIA",22,0.2
2024,8,"TOYOTA PRIUS",21,0.2
2024,8,"VOLVO XC60",21,0.2
2024,8,"BYD ATTO 3",20,0.2
2024,8,"MERCEDES-BENZ SPRINTER",19,0.1
2024,8,"PEUGEOT 308",18,0.1
2024,8,"MERCEDES-BENZ VITO TOURER",17,0.1
2024,8,"MG MARVEL R",17,0.1
2024,8,"BMW IX",16,0.1
2024,8,"FISKER OCEAN",16,0.1
2024,8,"HONDA E:NY1",16,0.1
2024,8,"MERCEDES-BENZ E-KLASSE",16,0.1
2024,8,"VOLKSWAGEN TIGUAN",15,0.1
2024,8,"VOYAH FREE",15,0.1
2024,8,"AUDI A1",14,0.1
2024,8,"FORD TRANSIT",14,0.1
2024,8,"NISSAN JUKE",14,0.1
2024,8,"TOYOTA RAV4",14,0.1
2024,8,"VOLVO EC40",14,0.1
2024,8,"KIA STONIC",13,0.1
2024,8,"PORSCHE CAYENNE",13,0.1
2024,8,"FORD PUMA",12,0.1
2024,8,"OPEL MOKKA",12,0.1
2024,8,"RENAULT AUSTRAL",12,0.1
2024,8,"SUBARU SOLTERRA",12,0.1
2024,8,"AUDI A5",11,0.1
2024,8,"CITROEN Ë-C4",11,0.1
2024,8,"FORD TOURNEO CUSTOM",11,0.1
2024,8,"HONDA CR-V",11,0.1
2024,8,"HONDA HR-V",11,0.1
2024,8,"HYUNDAI I30",11,0.1
2024,8,"HYUNDAI IONIQ 6",11,0.1
2024,8,"SEAT LEON",11,0.1
2024,8,"VOLKSWAGEN ID. BUZZ",11,0.1
2024,8,"AUDI A4",10,0.1
2024,8,"AUDI Q8 E-TRON",10,0.1
2024,8,"KIA EV9",10,0.1
2024,8,"KIA XCEED",10,0.1
2024,8,"MAZDA MX-5",10,0.1
2024,8,"MITSUBISHI ECLIPSE CROSS",10,0.1
2024,8,"BMW 2'ER",9,0.1
2024,8,"BMW X5",9,0.1
2024,8,"FORD FOCUS",9,0.1
2024,8,"MERCEDES-BENZ V-KLASSE",9,0.1
2024,8,"PORSCHE TAYCAN",9,0.1
2024,8,"SKODA SUPERB",9,0.1
2024,8,"VOLVO V90",9,0.1
2024,8,"XPENG P7",9,0.1
2024,8,"BMW I7",8,0.1
2024,8,"KGM TORRES EVX",8,0.1
2024,8,"OPEL ZAFIRA",8,0.1
2024,8,"RENAULT CAPTUR",8,0.1
2024,8,"LEXUS LBX",7,0.1
2024,8,"MAZDA CX-30",7,0.1
2024,8,"MERCEDES-BENZ GLC",7,0.1
2024,8,"MG EHS",7,0.1
2024,8,"BYD TANG",6,0
2024,8,"KIA SORENTO",6,0
2024,8,"MERCEDES-BENZ GLE",6,0
2024,8,"PEUGEOT 508",6,0
2024,8,"VOLVO V60",6,0
2024,8,"VOLVO XC40",6,0
2024,8,"BMW X3",5,0
2024,8,"LEXUS RZ",5,0
2024,8,"MG ZS",5,0
2024,8,"OPEL CROSSLAND",5,0
2024,8,"SUZUKI S-CROSS",5,0
2024,8,"VOLKSWAGEN CRAFTER",5,0
2024,8,"VOLVO XC90",5,0
2024,8,"FORD TRANSIT CUSTOM",4,0
2024,8,"HONDA CIVIC",4,0
2024,8,"JEEP AVENGER",4,0
2024,8,"MAZDA 3",4,0
2024,8,"MAZDA CX-60",4,0
2024,8,"VOLKSWAGEN CARAVELLE",4,0
2024,8,"AUDI A6",3,0
2024,8,"AUDI Q7",3,0
2024,8,"BMW 4'ER",3,0
2024,8,"CITROEN C5 AIRCROSS",3,0
2024,8,"DS 4",3,0
2024,8,"FORD FIESTA",3,0
2024,8,"FORD MUSTANG",3,0
2024,8,"HONDA JAZZ",3,0
2024,8,"LOTUS ELETRE",3,0
2024,8,"MAN TGE",3,0
2024,8,"MERCEDES-BENZ EQV",3,0
2024,8,"NILSSON HEARSE",3,0
2024,8,"PORSCHE CAYMAN",3,0
2024,8,"PORSCHE PANAMERA",3,0
2024,8,"SUBARU FORESTER",3,0
2024,8,"VOLKSWAGEN GOLF",3,0
2024,8,"AIWAYS U5",2,0
2024,8,"HYUNDAI SANTA FE",2,0
2024,8,"LEXUS ES",2,0
2024,8,"MERCEDES-BENZ AMG GT",2,0
2024,8,"MERCEDES-BENZ G-KLASSE",2,0
2024,8,"MINI 5-DØRS",2,0
2024,8,"NISSAN X-TRAIL",2,0
2024,8,"PORSCHE 718 SPYDER RS",2,0
2024,8,"RENAULT TRAFIC",2,0
